설비 사이트 코드,신규분류 요약코드,제품군,ADD,CP,AXIS,납기일,필요수량,사출,분리,하이드레이션,접착,누수규격
A관(1공장),Si_FRP_Toric,O2O2 M_UV_Toric_SMD_(소) + -00.00,,-0.75,010,2026-01-20,75,0.0,0.0,0.0,0.0,0.0
A관(1공장),Si_FRP_Toric,O2O2 M_UV_Toric_SMD_(소) + -00.00,,-0.75,020,2026-01-20,20,0.0,0.0,0.0,0.0,0.0
A관(1공장),Si_FRP_Toric,O2O2 M_UV_Toric_SMD_(소) + -00.00,,-0.75,030,2026-01-20,15,0.0,0.0,0.0,0.0,0.0
A관(1공장),Si_FRP_Toric,O2O2 M_UV_Toric_SMD_(소) + -00.00,,-0.75,040,2026-01-20,15,0.0,0.0,0.0,0.0,0.0
A관(1공장),Si_FRP_Toric,O2O2 M_UV_Toric_SMD_(소) + -00.00,,-0.75,050,2026-01-20,15,0.0,0.0,0.0,0.0,0.0
A관(1공장),Si_FRP_Toric,O2O2 M_UV_Toric_SMD_(소) + -00.00,,-0.75,060,2026-01-20,15,0.0,0.0,0.0,0.0,0.0
A관(1공장),Si_FRP_Toric,O2O2 M_UV_Toric_SMD_(소) + -00.00,,-0.75,070,2026-01-20,15,0.0,0.0,0.0,0.0,0.0
A관(1공장),Si_FRP_Toric,O2O2 M_UV_Toric_SMD_(소) + -00.00,,-0.75,080,2026-01-20,75,0.0,0.0,0.0,0.0,0.0
A관(1공장),Si_FRP_Toric,O2O2 M_UV_Toric_SMD_(소) + -00.00,,-0.75,090,2026-01-20,140,0.0,0.0,0.0,0.0,0.0
A관(1공장),Si_FRP_Toric,O2O2 M_UV_Toric_SMD_(소) + -00.00,,-0.75,100,2026-01-20,20,0.0,0.0,0.0,0.0,0.0
A관(1공장),Si_FRP_Toric,O2O2 M_UV_Toric_SMD_(소) + -00.00,,-0.75,110,2026-01-20,15,0.0,0.0,0.0,0.0,0.0
A관(1공장),Si_FRP_Toric,O2O2 M_UV_Toric_SMD_(소) + -00.00,,-0.75,120,2026-01-20,15,0.0,0.0,0.0,0.0,0.0
A관(1공장),Si_FRP_Toric,O2O2 M_UV_Toric_SMD_(소) + -00.00,,-0.75,130,2026-01-20,15,0.0,0.0,0.0,0.0,0.0
A관(1공장),Si_FRP_Toric,O2O2 M_UV_Toric_SMD_(소) + -00.00,,-0.75,140,2026-01-20,15,0.0,0.0,0.0,0.0,0.0
A관(1공장),Si_FRP_Toric,O2O2 M_UV_Toric_SMD_(소) + -00.00,,-0.75,150,2026-01-20,15,0.0,0.0,0.0,0.0,0.0
A관(1공장),Si_FRP_Toric,O2O2 M_UV_Toric_SMD_(소) + -00.00,,-0.75,160,2026-01-20,30,0.0,0.0,0.0,0.0,0.0
A관(1공장),Si_FRP_Toric,O2O2 M_UV_Toric_SMD_(소) + -00.00,,-0.75,170,2026-01-20,75,0.0,0.0,0.0,0.0,0.0
A관(1공장),Si_FRP_Toric,O2O2 M_UV_Toric_SMD_(소) + -00.00,,-0.75,180,2026-01-20,175,0.0,0.0,0.0,0.0,0.0
A관(1공장),Si_FRP_Toric,O2O2 M_UV_Toric_SMD_(소) + -00.00,,-1.25,010,2026-01-20,65,0.0,0.0,0.0,0.0,0.0
A관(1공장),Si_FRP_Toric,O2O2 M_UV_Toric_SMD_(소) + -00.00,,-1.25,020,2026-01-20,20,0.0,0.0,0.0,0.0,0.0
A관(1공장),Si_FRP_Toric,O2O2 M_UV_Toric_SMD_(소) + -00.00,,-1.25,030,2026-01-20,15,0.0,0.0,0.0,0.0,0.0
A관(1공장),Si_FRP_Toric,O2O2 M_UV_Toric_SMD_(소) + -00.00,,-1.25,040,2026-01-20,15,0.0,0.0,0.0,0.0,0.0
A관(1공장),Si_FRP_Toric,O2O2 M_UV_Toric_SMD_(소) + -00.00,,-1.25,050,2026-01-20,15,0.0,0.0,0.0,0.0,0.0
A관(1공장),Si_FRP_Toric,O2O2 M_UV_Toric_SMD_(소) + -00.00,,-1.25,060,2026-01-20,15,0.0,0.0,0.0,0.0,0.0
A관(1공장),Si_FRP_Toric,O2O2 M_UV_Toric_SMD_(소) + -00.00,,-1.25,070,2026-01-20,15,0.0,0.0,0.0,0.0,0.0
A관(1공장),Si_FRP_Toric,O2O2 M_UV_Toric_SMD_(소) + -00.00,,-1.25,080,2026-01-20,65,0.0,0.0,0.0,0.0,0.0
A관(1공장),Si_FRP_Toric,O2O2 M_UV_Toric_SMD_(소) + -00.00,,-1.25,090,2026-01-20,120,0.0,0.0,0.0,0.0,0.0
